movie_title,genres,distributor_group,release_month,domestic_opening_adjusted,total_gross_adjusted,prediction
Conan the Barbarian (2011),Action Adventure Fantasy,Major Studio,08,13975082,88586373,1.0435819340089764E8
Conan the Destroyer (1984),Action Adventure Fantasy,Major Studio,06,21013945,93738698,1.5469233730767092E8
Conclave (2024),Drama Thriller,Mid-size Studio,10,6601995,126303901,7.423023135651684E7
Concussion (2015),Biography Drama Sport,Major Studio,12,13914682,64352073,1.1297032636231232E8
Coneheads (1993),Comedy Sci-Fi,Major Studio,07,15418498,46197328,1.0797687046841025E8
Confessions of a Dangerous Mind (2002),Biography Comedy Crime Drama Romance Thriller,Mid-size Studio,12,152065,57572273,7.889702421365777E7
Confessions of a Shopaholic (2009),Comedy Romance,Major Studio,02,22029302,158488589,1.2586544363579321E8
Confessions of a Teenage Drama Queen (2004),Comedy Family Music Romance,Major Studio,02,15529336,55224404,1.0797687046841025E8
Confidence (2003),Crime Thriller,Major Studio,04,8184997,39244000,1.0230513515249611E8
Confidential Assignment (2017),Action Comedy Drama Thriller,Small / Indie Studio,01,27166,71629946,5.347921432260457E7
Congo (1995),Action Adventure Mystery Sci-Fi,Major Studio,06,50729217,312953228,3.7471077592707026E8
Connie and Carla (2004),Comedy Crime Music,Major Studio,04,5405772,18835045,1.0230513515249611E8
Conquest 1453 (2012),Action Drama History War,Small / Indie Studio,02,48818,48909687,6.754197579510053E7
Consenting Adults (1992),Crime Drama Mystery Thriller,Major Studio,10,11230127,48269022,1.0230513515249611E8
Conspiracy Theory (1997),Action Drama Mystery Thriller,Major Studio,08,37742789,267693404,2.2404200421269616E8
Constantine (2005),Action Fantasy Horror Mystery,Major Studio,02,47817443,370865924,3.477149202545746E8
Contact (1997),Drama Mystery Sci-Fi Thriller,Major Studio,07,40227260,334405283,2.2404200421269616E8
Contagion (2011),Drama Thriller,Major Studio,09,31242927,190378156,1.8577665640240195E8
Continental Divide (1981),Comedy Romance,Major Studio,09,11103864,53747659,1.0230513515249611E8
Contraband (2012),Action Adventure Crime Drama Mystery Thriller,Major Studio,01,33269278,131523556,1.8811767221131817E8
Cookie (1989),Comedy Crime,Major Studio,08,740090,4730317,1.0230513515249611E8
Cookie's Fortune (1999),Comedy Drama,Small / Indie Studio,04,351819,20564686,5.347921432260457E7
Cool Runnings (1993),Adventure Comedy Family History Sport,Major Studio,10,15301558,336265133,1.0797687046841025E8
Cool World (1992),Animation Comedy Fantasy,Major Studio,07,12421630,31544688,1.0435819340089764E8
Cool as Ice (1991),Comedy Drama Music Romance,Major Studio,10,1470962,2748011,1.0230513515249611E8
Cop & ½ (1993),Comedy Crime Family,Major Studio,04,13088045,88356287,1.0435819340089764E8
Cop Land (1997),Crime Drama Thriller,Mid-size Studio,08,26402337,87670193,1.5657833143297738E8
Cop Out (2010),Action Comedy Crime Mystery,Major Studio,02,26197598,79999151,1.6943211214590883E8
Cops and Robbersons (1994),Comedy Crime Thriller,Small / Indie Studio,04,7881409,24106267,5.347921432260457E7
Copycat (1995),Drama Mystery Thriller,Major Studio,10,10644055,65982188,1.0230513515249611E8
Coraline (2009),Animation Drama Family Fantasy,Mid-size Studio,02,24636728,271755645,1.5657833143297738E8
Corky Romano (2001),Comedy Crime,Major Studio,10,15985086,44772178,1.0797687046841025E8
Corporate Affairs (1990),Comedy,Small / Indie Studio,10,539815,2416597,5.347921432260457E7
Corpse Bride (2005),Animation Comedy Drama Family Fantasy Musical Romance,Major Studio,09,623502,188316288,1.0230513515249611E8
Countdown (2019),Horror Thriller,Mid-size Studio,10,10877288,58921802,7.423023135651684E7
Country (1984),Drama,Major Studio,09,73811,29110239,1.0230513515249611E8
Country Strong (2010),Drama Music,Small / Indie Studio,12,43807,29532252,5.6228458637633994E7
Coupe de Ville (1990),Comedy Drama,Major Studio,03,160545,1718940,1.0230513515249611E8
Couples Retreat (2009),Comedy,Major Studio,10,50132411,251263204,3.580774766722703E8
Courage Mountain (1989),Adventure Drama Family War,Small / Indie Studio,02,1663971,3345795,5.347921432260457E7
Courage Under Fire (1996),Action Drama Mystery Thriller War,Major Studio,07,25002375,201715206,1.7473880802342385E8
Courageous (2011),Drama,Small / Indie Studio,09,12708307,49772508,5.730209283636898E7
Cousin Bette (1998),Comedy Drama Romance,Major Studio,06,147190,2492420,1.3821043868913203E8
Cousins (1989),Comedy Romance,Major Studio,02,7691832,55734869,1.0230513515249611E8
Cowboys & Aliens (2011),Action Drama Sci-Fi Thriller Western,Major Studio,07,50805243,243798413,3.648352486852654E8
Coyote Ugly (2000),Comedy Drama Music Romance,Major Studio,08,31549858,207517182,1.8577665640240195E8
Crack House (1989),Action Crime Drama,Small / Indie Studio,11,531788,2182573,5.347921432260457E7
Crackers (1984),Adventure Comedy Crime Thriller,Major Studio,02,177225,390355,1.0230513515249611E8
Cradle 2 the Grave (2003),Action Crime Drama Thriller,Major Studio,02,28172534,96326427,1.8577665640240195E8
Cradle Will Rock (1999),Drama,Major Studio,12,177009,5624749,1.1091726811391076E8
Crank (2006),Action Crime Thriller,Major Studio,08,16272491,66804099,1.0797687046841025E8
Crank: High Voltage (2009),Action Thriller,Major Studio,04,10181788,50550295,1.0230513515249611E8
Crash (1996),Drama,Small / Indie Studio,10,1476631,5350715,5.347921432260457E7
Crash (2004),Crime Drama Thriller,Major Studio,04,14628486,158073901,1.0435819340089764E8
Crawl (2019),Action Horror Thriller,Major Studio,07,14730166,112320427,1.0797687046841025E8
Crazy Heart (2009),Drama Music Romance,Major Studio,12,120867,69314123,1.1091726811391076E8
Crazy People (1990),Comedy Drama,Major Studio,04,8061444,31778370,1.0230513515249611E8
Crazy Rich Asians (2018),Comedy Drama Romance,Major Studio,08,33116825,298991416,1.8811767221131817E8
Crazy in Alabama (1999),Comedy Crime Drama,Major Studio,10,1903073,3777236,1.0230513515249611E8
"Crazy, Stupid, Love. (2011)",Comedy Drama Romance,Major Studio,07,26641899,202330528,1.7473880802342385E8
Crazy/Beautiful (2001),Drama Romance,Major Studio,06,8353008,35321327,1.3821043868913203E8
Creation of the Gods I: Kingdom of Storms (2023),Action Adventure Drama Fantasy,Small / Indie Studio,07,958613,384027722,5.347921432260457E7
Creation of the Gods II: Demon Force (2025),Action Drama Fantasy War,Small / Indie Studio,01,1242232,3716315,5.347921432260457E7
Creator (1985),Comedy Romance Sci-Fi,Major Studio,09,5889825,15600244,1.0230513515249611E8
Creed (2015),Action Drama Sport,Major Studio,11,39218295,230521364,2.2404200421269616E8
Creed II (2018),Action Drama Sport,Major Studio,11,44440408,267601379,2.2404200421269616E8
Creed III (2023),Action Drama Sport,Small / Indie Studio,03,60092181,284296223,4.405420381367151E8
Creepshow (1982),Comedy Fantasy Horror,Major Studio,11,19084344,68365930,1.1918938894301553E8
Creepshow 2 (1987),Fantasy Horror,Small / Indie Studio,05,9895169,38652174,5.347921432260457E7
Crimes and Misdemeanors (1989),Comedy Drama,Mid-size Studio,10,2306141,46191155,7.423023135651684E7
Crimes of Passion (1984),Drama Romance Thriller,Small / Indie Studio,10,3331401,8796320,5.347921432260457E7
Crimes of the Heart (1986),Comedy Drama,Small / Indie Studio,12,4014983,65552716,5.6228458637633994E7
Criminal (2016),Action Sci-Fi Thriller,Major Studio,08,7632847,51356107,1.0230513515249611E8
Criminal Law (1988),Crime Drama Thriller,Small / Indie Studio,04,6670286,25239041,5.347921432260457E7
Crimson Peak (2015),Drama Horror Mystery Romance Thriller,Major Studio,10,17415413,98953761,1.0797687046841025E8
Crimson Rivers 2: Angels of the Apocalypse (2004),Action Crime Mystery Thriller,Small / Indie Studio,02,77021,66684283,5.347921432260457E7
Crimson Tide (1995),Action Drama Thriller War,Major Studio,05,38315119,323997829,2.2404200421269616E8
CrissCross (1992),Crime Drama,Major Studio,05,2327780,6824497,1.0230513515249611E8
Critical Condition (1987),Comedy,Major Studio,01,15780305,55881386,1.0797687046841025E8
Critters (1986),Comedy Horror Sci-Fi,Major Studio,04,4632801,37682958,1.0230513515249611E8
Critters 2: The Main Course (1988),Comedy Horror Sci-Fi Thriller,Major Studio,04,5036523,10114932,1.0230513515249611E8
Crocodile Dundee (1986),Adventure Comedy,Major Studio,09,23006189,939277053,1.3432585785568565E8
Crocodile Dundee II (1988),Action Adventure Comedy,Major Studio,05,64889151,635566312,5.775553392610016E8
Crocodile Dundee in Los Angeles (2001),Adventure Comedy Crime,Major Studio,04,13666450,69867949,1.0435819340089764E8
Cronos (1992),Drama Fantasy Horror Thriller,Small / Indie Studio,04,37115,1315014,5.347921432260457E7
Crooklyn (1994),Comedy Drama,Major Studio,05,8908252,28871680,1.0230513515249611E8
Cross My Heart (1987),Comedy Romance,Major Studio,11,1256472,2831995,1.0230513515249611E8
Crossing Delancey (1988),Comedy Romance,Major Studio,08,123903,43136791,1.0230513515249611E8
Crossing the Bridge (1992),Comedy Drama,Major Studio,09,544788,1072332,1.0230513515249611E8
Crossroads (1986),Drama Music Mystery Romance,Major Studio,03,5928887,16710571,1.0230513515249611E8
Crossroads (2002),Comedy Drama Romance,Major Studio,02,25333741,107655429,1.6943211214590883E8
"Crouching Tiger, Hidden Dragon (2000)",Action Adventure Drama Fantasy Romance,Small / Indie Studio,12,1208135,389796291,5.6228458637633994E7
Croupier (1998),Crime Drama Thriller,Small / Indie Studio,04,115624,12971260,5.347921432260457E7
Cruel Intentions (1999),Drama Romance,Major Studio,03,24519276,143771305,1.3432585785568565E8
Cruella (2021),Adventure Comedy Crime Drama,Major Studio,05,24886124,270316380,1.6943211214590883E8
Crumb (1994),Biography Comedy Documentary Drama,Small / Indie Studio,04,40882,6260384,5.347921432260457E7
Crusoe (1988),Adventure Drama,Small / Indie Studio,03,17738,798132,5.347921432260457E7
Cry Freedom (1987),Biography Drama History,Major Studio,11,879953,16288570,1.6845289953932267E8
Cry Macho (2021),Drama,Major Studio,09,5123971,19113747,1.0230513515249611E8
Cry Wolf (2005),Drama Horror Mystery Thriller,Small / Indie Studio,06,7310170,52342825,5.6153524138669536E7
Cry-Baby (1990),Comedy Musical,Major Studio,04,7214210,19846678,1.0230513515249611E8
Cuba (1979),Adventure Romance Thriller War,Major Studio,12,2280022,24247571,1.1091726811391076E8
Cujo (1983),Horror Thriller,Major Studio,08,19258862,66631258,1.1918938894301553E8
Curious George (2006),Adventure Animation Comedy Family,Major Studio,02,22879662,108716909,1.3432585785568565E8
Curly Sue (1991),Comedy Drama Family Romance,Major Studio,10,11458951,77602085,1.0230513515249611E8
Curse of the Golden Flower (2006),Action Drama Romance,Small / Indie Studio,12,286319,122259549,5.6228458637633994E7
Curse of the Pink Panther (1983),Comedy Crime Mystery,Major Studio,08,5168899,14147501,1.0230513515249611E8
Cursed (2005),Comedy Horror Mystery,Mid-size Studio,02,15420267,47580716,7.990196667243096E7
Cutthroat Island (1995),Action Adventure Comedy,Major Studio,12,4881803,20621694,1.1091726811391076E8
CyberWorld (2000),Animation Short,Small / Indie Studio,10,506784,30337758,5.347921432260457E7
Cyborg (1989),Action Sci-Fi Thriller,Small / Indie Studio,04,8046099,25724905,5.347921432260457E7
D.A.R.Y.L. (1985),Family Sci-Fi,Major Studio,06,7727301,22865143,1.3821043868913203E8
D.C. Cab (1983),Action Comedy,Major Studio,12,4927484,50815975,1.1091726811391076E8
D.O.A. (1988),Mystery Thriller,Major Studio,03,9950843,33704508,1.0230513515249611E8
D2: The Mighty Ducks (1994),Comedy Drama Family Sport,Major Studio,03,21917347,96522496,1.2586544363579321E8
D3: The Mighty Ducks (1996),Action Comedy Drama Family Sport,Major Studio,10,12340323,45908730,1.0435819340089764E8
DC League of Super-Pets (2022),Action Adventure Animation Comedy Crime Family Fantasy Sci-Fi,Major Studio,07,24657268,222479385,1.7473880802342385E8
DEFCON-4 (1985),Action Adventure Sci-Fi Thriller,Small / Indie Studio,03,615027,3082555,9.118199197660711E7
Da (1988),Drama Fantasy,Small / Indie Studio,04,29403,1709650,5.347921432260457E7
Dad (1989),Comedy Drama,Major Studio,10,1366774,69592867,1.0230513515249611E8
"Dad, I'm Sorry (2021)",Comedy Drama Family,Small / Indie Studio,03,405180,20236390,5.347921432260457E7
Daddy Day Camp (2007),Comedy Family,Small / Indie Studio,08,5147999,27531310,5.347921432260457E7
Daddy Day Care (2003),Comedy Family,Small / Indie Studio,05,47103940,280393889,3.213011375239877E8
Daddy Nostalgia (1990),Drama Romance,Small / Indie Studio,04,32827,2553074,5.347921432260457E7
Daddy's Dyin'... Who's Got the Will? (1990),Comedy,Major Studio,05,753480,3298062,1.0230513515249611E8
Daddy's Home (2015),Comedy Family,Major Studio,12,51271683,321321337,3.9368214482652855E8
Daddy's Home 2 (2017),Comedy,Major Studio,11,37945834,231138832,2.2404200421269616E8
Daddy's Little Girls (2007),Drama Romance,Major Studio,02,16961037,47822434,1.0797687046841025E8
Dallas Buyers Club (2013),Biography Drama,Mid-size Studio,11,351265,74326709,7.423023135651684E7
Damage (1992),Drama Romance,Major Studio,12,227369,16840072,1.1091726811391076E8
Damien: Omen II (1978),Horror,Major Studio,06,18663088,127526334,1.4801628261489326E8
Dan Da Dan: Evil Eye (2025),Action Animation Sci-Fi,Small / Indie Studio,05,3133159,6749412,5.347921432260457E7
Dan in Real Life (2007),Comedy Drama Romance,Major Studio,10,17866812,103596531,1.0797687046841025E8
Dance Flick (2009),Action Comedy Music,Major Studio,05,15562463,45968788,1.0797687046841025E8
Dance with Me (1998),Drama Music Romance,Major Studio,08,8674368,30641827,1.0230513515249611E8
Dancer in the Dark (2000),Crime Drama Musical,Small / Indie Studio,09,166886,72977834,5.347921432260457E7
Dancers (1987),Drama Musical Romance,Small / Indie Studio,10,99701,3286583,5.347921432260457E7
Dances with Wolves (1990),Adventure Drama Western,Mid-size Studio,11,1436302,1018445381,1.699490519916232E8
Dancing at Lughnasa (1998),Drama Romance,Small / Indie Studio,11,161183,4402587,5.347921432260457E7
Dangal (2016),Action Biography Drama Sport,Small / Indie Studio,12,4245723,396966904,5.923297419528161E7
Dangerous Animals (2025),Horror Thriller,Mid-size Studio,06,1532021,4475114,7.161145637583794E7
Dangerous Beauty (1998),Biography Drama Romance,Major Studio,02,203961,8762135,1.0230513515249611E8
Dangerous Ground (1997),Action Crime Drama Thriller,Major Studio,02,5174253,10565916,1.0230513515249611E8
Dangerous Liaisons (1988),Drama Romance,Major Studio,12,224010,91965653,1.1091726811391076E8
Dangerous Minds (1995),Biography Drama,Major Studio,08,30738044,369559266,1.8577665640240195E8
Dangerously Close (1986),Action Crime Thriller,Small / Indie Studio,05,3378459,6841381,5.347921432260457E7
Dante's Peak (1997),Action Adventure Thriller,Major Studio,02,36112721,348099284,2.372701335826765E8
Danzón (1991),Drama,Small / Indie Studio,09,20334,1007110,5.347921432260457E7
Daredevil (2003),Action Crime Drama Sci-Fi,Major Studio,02,68737635,305538627,5.1660371833844596E8
Dark Angel (1990),Action Crime Horror Sci-Fi Thriller,Small / Indie Studio,09,4591362,10439611,5.347921432260457E7
Dark Blue (2002),Crime Drama Thriller,Small / Indie Studio,01,6617379,20718786,5.347921432260457E7
Dark City (1998),Fantasy Mystery Sci-Fi Thriller,Major Studio,02,10732068,52345174,1.0230513515249611E8
Dark Nuns (2025),Horror Mystery Thriller,Small / Indie Studio,01,53801,11722281,5.347921432260457E7
Dark Shadows (2012),Comedy Fantasy Horror,Major Studio,05,40559143,335465009,2.2404200421269616E8
Dark Skies (2013),Horror Sci-Fi Thriller,Mid-size Studio,02,11027041,37512055,7.423023135651684E7
Dark Waters (2019),Biography Drama History Thriller,Mid-size Studio,11,125896,28353101,7.423023135651684E7
Darkest Hour (2017),Biography Drama History War,Mid-size Studio,11,223962,193045371,7.423023135651684E7
Darkman (1990),Action Sci-Fi Thriller,Major Studio,08,19338199,117348058,1.1918938894301553E8
Darkness (2002),Horror,Mid-size Studio,10,11160863,59272440,7.423023135651684E7
Darkness Falls (2003),Fantasy Horror Mystery Thriller,Small / Indie Studio,01,20504981,80977815,6.838302874799144E7
Das Boot (1981),Drama War,Major Studio,02,87749,37347154,1.0230513515249611E8
Date Movie (2006),Comedy Romance,Major Studio,02,29684172,133432286,1.8577665640240195E8
Date Night (2010),Comedy Crime Romance Thriller,Major Studio,04,36262367,219039056,1.8811767221131817E8
Date with an Angel (1987),Comedy Fantasy Romance,Small / Indie Studio,11,2253041,5491265,5.347921432260457E7
Dave (1993),Comedy Romance,Major Studio,05,15866371,137390205,1.0797687046841025E8
Dawn of the Dead (2004),Action Horror,Major Studio,03,44380583,169866184,2.2404200421269616E8
Dawn of the Planet of the Apes (2014),Action Adventure Drama Sci-Fi Thriller,Major Studio,07,96213055,941632567,7.615924183614031E8
Day of the Dead (1985),Horror Thriller,Small / Indie Studio,07,4957451,14583759,5.347921432260457E7
Daybreakers (2009),Action Horror Sci-Fi Thriller,Major Studio,01,21789259,73966146,1.2586544363579321E8
Daylight (1996),Action Adventure Drama Thriller,Major Studio,12,20031111,318414787,1.3788506052258664E8
Days of Glory (2006),Drama War,Small / Indie Studio,09,17111,35733337,5.347921432260457E7
Days of Thunder (1990),Action Drama Sport,Major Studio,06,37189635,379137875,2.985709090798576E8
Dazed and Confused (1993),Comedy,Small / Indie Studio,09,1993682,17937140,5.347921432260457E7
De-Lovely (2004),Biography Drama Music Musical,Small / Indie Studio,07,486550,30910541,5.347921432260457E7
Dead Again (1991),Crime Drama Mystery Thriller,Major Studio,08,8014182,87564125,1.0230513515249611E8
Dead Bang (1989),Action Crime Drama Thriller,Major Studio,03,7205710,20560756,1.0230513515249611E8
Dead Calm (1989),Horror Thriller,Major Studio,04,6233696,19800489,1.0230513515249611E8
Dead Heat (1988),Action Comedy Horror Sci-Fi Thriller,Small / Indie Studio,05,4421888,9518993,5.347921432260457E7
Dead Man Walking (1995),Crime Drama,Small / Indie Studio,12,243463,81034116,5.6228458637633994E7
Dead Man on Campus (1998),Comedy,Major Studio,08,9053516,28990387,1.0230513515249611E8
Dead Men Don't Wear Plaid (1982),Comedy Crime Mystery Thriller,Major Studio,05,13944093,59149809,1.0435819340089764E8
Dead Poets Society (1989),Comedy Drama,Major Studio,06,861480,596813421,1.3821043868913203E8
Dead Presidents (1995),Action Crime Drama Thriller War,Major Studio,10,16353089,49709467,1.0797687046841025E8
Dead Ringers (1988),Drama Horror Thriller,Major Studio,09,7989944,21324331,1.0230513515249611E8
Dead Silence (2007),Horror Mystery Thriller,Major Studio,03,11865460,33862373,1.0230513515249611E8
Dead of Winter (1987),Drama Horror Thriller,Major Studio,02,2627100,6663157,1.0230513515249611E8
Deadly Friend (1986),Drama Horror Sci-Fi Thriller,Major Studio,10,10887796,25724615,1.0230513515249611E8
Deadpool & Wolverine (2024),Action Adventure Comedy Sci-Fi,Major Studio,07,211435291,1338073645,7.615924183614031E8
Deadpool (2016),Action Comedy Sci-Fi,Major Studio,02,173090379,1023158399,7.976252574301907E8
Deadpool 2 (2018),Action Adventure Comedy Sci-Fi,Major Studio,05,156785229,981752676,7.976252574301907E8
Deadtime Stories (1986),Comedy Drama Fantasy Horror Mystery Thriller,Small / Indie Studio,11,2026527,7872274,5.347921432260457E7
Deal of the Century (1983),Comedy Crime,Major Studio,11,11088138,32658975,1.0230513515249611E8
Dear Evan Hansen (2021),Drama Musical,Major Studio,09,8617393,22149955,1.0230513515249611E8
Dear God (1996),Comedy,Major Studio,11,6425885,14276591,1.0230513515249611E8
Dear John (2010),Drama Romance War,Small / Indie Studio,02,43830595,165421231,2.327722360819593E8
Death Becomes Her (1992),Comedy Fantasy Horror,Major Studio,07,27073099,333145062,1.7473880802342385E8
Death Before Dishonor (1987),Action Drama,Small / Indie Studio,02,5101949,12551587,5.347921432260457E7
Death Race (2008),Action Sci-Fi Thriller,Major Studio,08,18388805,110752145,1.1918938894301553E8
Death Warrant (1990),Action Crime Mystery Thriller,Major Studio,09,12051837,40462041,1.0435819340089764E8
Death Wish (2018),Action Crime Drama Thriller,Major Studio,03,16252601,61914406,1.0797687046841025E8
Death Wish 3 (1985),Action Crime Drama Thriller,Small / Indie Studio,11,15511327,46999195,6.092076990388157E7
Death Wish 4: The Crackdown (1987),Action Crime Drama Thriller,Small / Indie Studio,11,6809842,18995638,5.347921432260457E7
Death Wish: The Face of Death (1994),Action Crime Drama Thriller,Small / Indie Studio,01,1066449,3602671,5.347921432260457E7
Death and the Maiden (1994),Drama Mystery Thriller,Small / Indie Studio,12,157376,6568203,5.6228458637633994E7
Death at a Funeral (2007),Comedy,Major Studio,07,1941043,70789376,1.0230513515249611E8
Death at a Funeral (2010),Comedy Drama,Small / Indie Studio,04,23329726,70562104,8.233254951603761E7
Death of a Unicorn (2025),Comedy Fantasy Horror Thriller,Mid-size Studio,03,5669229,16078079,7.423023135651684E7
Death on the Nile (2022),Crime Drama Mystery,Major Studio,02,13817927,147178905,1.0435819340089764E8
Deathstalker (1983),Action Adventure Fantasy,Small / Indie Studio,09,1438376,37539654,5.347921432260457E7
Deathtrap (1982),Comedy Crime Drama Mystery Thriller,Major Studio,03,7278183,62679923,1.0230513515249611E8
Deceived (1991),Crime Drama Mystery Thriller,Major Studio,09,9942812,66193210,1.0230513515249611E8
Decibel (2022),Action Drama Thriller,Small / Indie Studio,11,28626,7731010,5.347921432260457E7
Decision to Leave (2022),Crime Drama Mystery Romance Thriller,Small / Indie Studio,06,103116,23271820,5.6153524138669536E7
Deck the Halls (2006),Comedy Family,Major Studio,11,18674904,73497939,1.1918938894301553E8
Deconstructing Harry (1997),Comedy,Small / Indie Studio,12,696629,20884346,5.6228458637633994E7
Deep Blue (2003),Documentary,Mid-size Studio,06,14278,32897785,7.161145637583794E7
Deep Blue Sea (1999),Action Adventure Sci-Fi Thriller,Major Studio,07,35981970,310052249,1.9342436808883315E8
Deep Cover (1992),Action Crime Thriller,Major Studio,04,7715620,37198821,1.0230513515249611E8
Deep Impact (1998),Action Drama Sci-Fi Thriller,Major Studio,05,79192004,672495985,5.775553392610016E8
Deep Rising (1998),Action Adventure Horror Sci-Fi,Major Studio,01,9117222,21558660,1.0230513515249611E8
Deep Sea (2006),Documentary Short,Major Studio,03,1089587,152855065,1.0230513515249611E8
Deep Sea (2023),Adventure Animation Drama Family Fantasy,Small / Indie Studio,01,5933,137499555,5.347921432260457E7
DeepStar Six (1989),Action Horror Sci-Fi Thriller,Small / Indie Studio,01,8366214,20605374,5.347921432260457E7
Deepwater Horizon (2016),Action Drama History Thriller,Major Studio,09,26431913,159178460,1.6943211214590883E8
Def by Temptation (1990),Horror,Small / Indie Studio,05,131041,5326389,5.347921432260457E7
Default (2018),Drama History,Small / Indie Studio,11,62474,34595772,5.347921432260457E7
Defending Your Life (1991),Comedy Drama Fantasy,Major Studio,03,213339,37709127,1.0230513515249611E8
Defense of the Realm (1985),Thriller,Small / Indie Studio,11,57060,2146405,5.347921432260457E7
Defenseless (1991),Mystery Thriller,Major Studio,08,3663300,14772095,1.0230513515249611E8
Defiance (2008),Action Drama History Thriller War,Small / Indie Studio,12,179957,74689328,5.6228458637633994E7
"Definitely, Maybe (2008)",Comedy Drama Romance,Major Studio,02,14226446,81577320,1.0435819340089764E8
Deja Vu (2006),Action Crime Sci-Fi Thriller,Major Studio,11,32016021,280961843,1.8577665640240195E8
Delicatessen (1991),Comedy Crime,Mid-size Studio,04,10581,4033219,7.423023135651684E7
Delirious (1991),Comedy Fantasy,Major Studio,08,4153033,12776152,1.0230513515249611E8
Deliver Us from Eva (2003),Comedy Drama Romance,Mid-size Studio,02,12106974,29966627,7.628328960491836E7
Deliver Us from Evil (2014),Crime Horror Mystery Thriller,Small / Indie Studio,07,12906515,116521134,6.299306541169678E7
Delivery Man (2013),Comedy Drama,Major Studio,11,10698231,71528680,1.0230513515249611E8
Delta Force 2: The Colombian Connection (1990),Action Adventure Crime Thriller,Major Studio,08,4452014,16081501,1.0230513515249611E8
Demolition Man (1993),Action Sci-Fi Thriller,Major Studio,10,30970388,126067651,1.8577665640240195E8
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training (2024),Action Adventure Animation Fantasy Thriller,Major Studio,02,11505414,44354825,1.0230513515249611E8
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village (2023),Action Adventure Animation Fantasy Thriller,Small / Indie Studio,02,10416326,57981477,1.2388117949233285E8
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train (2020),Action Adventure Animation Fantasy Thriller,Small / Indie Studio,10,25737820,588499936,1.9484625363415813E8
Den of Thieves (2018),Action Crime Drama Thriller,Mid-size Studio,01,18995675,100573706,8.736422551654081E7
Den of Thieves: Pantera (2025),Action Crime Drama Thriller,Major Studio,01,14716099,57179397,1.0797687046841025E8
Dennis the Menace (1993),Comedy Family,Major Studio,06,20262252,254649497,1.5469233730767092E8
Departures (2008),Drama,Small / Indie Studio,09,109194,108162514,5.347921432260457E7
Derailed (2005),Crime Drama Thriller,Small / Indie Studio,11,19615843,92327366,6.838302874799144E7
Desert Bloom (1986),Drama Family Romance,Major Studio,04,65242,1191664,1.0230513515249611E8
Desperado (1995),Action Crime Drama Thriller Western,Major Studio,08,16284472,52301150,1.0797687046841025E8
Desperate Hours (1990),Action Crime Drama Thriller,Major Studio,10,3283486,6585214,1.0230513515249611E8
Desperate Measures (1998),Action Crime Drama Thriller,Major Studio,01,11225587,26567984,1.0230513515249611E8
Desperately Seeking Susan (1985),Comedy Drama,Mid-size Studio,03,4450327,79918233,7.423023135651684E7
Despicable Me (2010),Adventure Animation Comedy Crime Family Sci-Fi,Major Studio,07,81130029,782822376,5.715505920477769E8
Despicable Me 2 (2013),Adventure Animation Comedy Crime Family Sci-Fi,Major Studio,06,112459420,1307175430,8.121990274330078E8
Despicable Me 3 (2017),Adventure Animation Comedy Crime Family Sci-Fi,Major Studio,06,92696758,1324275674,7.913842787292103E8
Despicable Me 4 (2024),Adventure Animation Comedy Crime Family Sci-Fi,Major Studio,06,75009210,969779532,5.828650676516339E8
Destiny Turns on the Radio (1995),Comedy Crime Fantasy,Small / Indie Studio,04,1392973,2422939,5.347921432260457E7
Detective Chinatown (2015),Action Comedy Mystery,Small / Indie Studio,01,370945,166549955,5.347921432260457E7
Detective Chinatown 1900 (2025),Comedy Drama Mystery,Mid-size Studio,01,734605,4897456,7.423023135651684E7
Detective Chinatown 2 (2018),Action Comedy Mystery,Major Studio,02,879505,679803439,1.0230513515249611E8
Detective Dee: The Four Heavenly Kings (2018),Action Adventure Drama Fantasy,Small / Indie Studio,07,158561,112480146,5.347921432260457E7
Detective Dee: The Mystery of the Phantom Flame (2010),Action Adventure Drama Fantasy History Mystery Thriller,Small / Indie Studio,09,75692,74659643,5.347921432260457E7
Detective K: Secret of the Lost Island (2015),Action Adventure Comedy Mystery,Small / Indie Studio,02,76316,36247156,5.347921432260457E7
Detroit (2017),Crime Drama History Thriller,Mid-size Studio,07,448152,29888468,7.423023135651684E7
Detroit Rock City (1999),Adventure Comedy Music,Major Studio,08,3776618,7941330,1.0230513515249611E8
Deuce Bigalow: European Gigolo (2005),Comedy,Major Studio,08,15462492,72458488,1.0797687046841025E8
Deuce Bigalow: Male Gigolo (1999),Comedy Romance,Major Studio,12,23019279,175014756,1.463454747424791E8
Devil (2010),Horror Mystery Thriller,Major Studio,09,17678868,90190534,1.0797687046841025E8
Devil and Angel (2015),Adventure Comedy Romance,Small / Indie Studio,12,59364,130494540,5.6228458637633994E7
Devil in a Blue Dress (1995),Crime Drama Mystery Thriller,Major Studio,09,11162541,33229053,1.0230513515249611E8
Devil's Due (2014),Horror Mystery,Major Studio,01,11008725,48922549,1.0230513515249611E8
Devotion (2022),Action Biography Drama War,Major Studio,11,6327184,23333148,1.0230513515249611E8
Dhoom 2 (2006),Action Crime Thriller,Small / Indie Studio,11,1523403,50411405,5.64837298802522E7
